"fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"LQH",2,"fc.LQH_rm.2",0.933020869565217,0.957,0.108872051017113,0.103549427618586,0.825383244471852,0.0988554286599556,0.75875,0.149124947611055,0.189655172413793,0.191991874580346,0.0172413793103448,0.0344827586206897,2668.54269910177,13.7985367732617,0.000411271326166853,32
"LQH",4,"fc.LQH_rm.4",0.929064347826087,0.969,0.124924593522789,0.0491314404843482,0.802062850269327,0.0489631540295108,0.69825,0.154325143771195,0.191502463054187,0.0724650187992952,0.00862068965517241,0.0172413793103448,2669.16377581257,14.4196134840572,0.000301483353471957,25
"LQH",3.5,"fc.LQH_rm.3.5",0.930459130434783,0.979,0.12057987707315,0.0579786115020473,0.808317722803712,0.0555331110473949,0.73775,0.12365914172973,0.199199507389163,0.146527143279443,0.0172413793103448,0.0344827586206897,2672.73498934726,17.990827018753,5.05573348044757e-05,28
"LQHPT",3,"fc.LQHPT_rm.3",0.938269565217391,0.987,0.0955311723653673,0.0905987896217596,0.841524921085958,0.0808412174663132,0.84475,0.0758919187617056,0.198275862068966,0.203759745991217,0.00862068965517241,0.0172413793103448,2674.42173939632,19.67757706781,2.1752593904517e-05,36
"LQ",1.5,"fc.LQ_rm.1.5",0.923220869565217,0.972,0.142273700119236,0.0461681962280088,0.78033793326448,0.062850389135801,0.52225,0.439163124590396,0.191502463054187,0.16567129383807,0.0172413793103448,0.0344827586206897,2675.34708857967,20.6029262511634,1.36953782064776e-05,19
"LQHPT",2.5,"fc.LQHPT_rm.2.5",0.941382608695652,0.979,0.0985614666665754,0.101448816202644,0.841366946881582,0.0922907503037859,0.769,0.196083315625442,0.189655172413793,0.187817639521473,0.0172413793103448,0.0199086299720561,2680.25770556383,25.51354323532,1.17556622677148e-06,40
"H",2.5,"fc.H_rm.2.5",0.933526086956522,0.921,0.105193224160758,0.111763708180002,0.844928237894889,0.121310808155519,0.83125,0.129985576122891,0.137931034482759,0.109044057247185,0,0,2686.00580754129,31.2616452127845,6.63838774091765e-08,32
"LQ",2,"fc.LQ_rm.2",0.917351304347826,0.946,0.151522630499564,0.0660934018719728,0.76614138744623,0.0841762814097835,0.47225,0.404341749019317,0.191502463054187,0.16567129383807,0.0175492610837438,0.0202703773014774,2692.70847046485,37.9643081363438,2.32593650344008e-09,19
"H",2,"fc.H_rm.2",0.934882608695652,0.945,0.104500956935382,0.117236679695818,0.845311318195955,0.125100856580911,0.82525,0.169478366367707,0.137931034482759,0.109044057247185,0,0,2698.54953696824,43.8053746397313,1.25379455420599e-10,38
"H",4,"fc.H_rm.4",0.929454782608696,0.926,0.10755062947435,0.107295983550088,0.842592373312649,0.119708644516037,0.7745,0.216623328999133,0.129310344827586,0.113932342537925,0,0,2703.75753401327,49.0133716847604,9.27521936930304e-12,28
"LQ",2.5,"fc.LQ_rm.2.5",0.910113913043478,0.955,0.15278246268805,0.0660015160115203,0.760894712646808,0.0840639980649047,0.4975,0.376508078709253,0.174261083743842,0.135704749053263,0.0175492610837438,0.0202703773014774,2704.3206805436,49.5765182150922,6.99903998552292e-12,17
"H",3.5,"fc.H_rm.3.5",0.931698260869565,0.901,0.107654086413809,0.107666956000302,0.842558117945154,0.119571729302862,0.77425,0.160726216488371,0.129310344827586,0.113932342537925,0,0,2711.47307626006,56.7289139315549,1.95846348482028e-13,33
"H",3,"fc.H_rm.3",0.932746956521739,0.919,0.105727332719947,0.107653960920845,0.844786019445493,0.118904784922271,0.80075,0.155255434687485,0.120689655172414,0.0995431498602803,0,0,2713.2687929726,58.5246306440895,7.9795894774848e-14,36
