"model_type","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"Default","LQHP",1,"fc.LQHP_rm.1",0.944917391304348,0.973,0.110266207276363,0.125306989094929,0.835748788152626,0.121161371937723,0.71375,0.195782830367391,0.241379310344828,0.214422506967559,0.0258620689655172,0.0330147278536668,2880.67040595509,225.926243626577,3.55780514617365e-50,69
"Optimized","LQHPT",3.5,"fc.LQHPT_rm.3.5",0.936719130434783,0.97,0.0908558320695069,0.0832279635564202,0.844141886793747,0.0725132434210903,0.8415,0.0683398370888703,0.206896551724138,0.203028985432824,0.00862068965517241,0.0172413793103448,2654.74416232851,0,0.407795680272558,29
