Species,Longitude,Latitude
A. sieboldii,103.175000000282,23.419651471047
A. sieboldii,103.591666666952,32.627984804454
A. sieboldii,104.550000000293,32.419651471119
A. sieboldii,104.675000000293,32.96131814
A. sieboldii,104.675000000293,38.086318137831
A. sieboldii,106.091666666971,33.752984804463
A. sieboldii,106.508333333642,33.919651471131
A. sieboldii,106.633333333643,26.127984804402
A. sieboldii,106.841666666978,32.336318137785
A. sieboldii,107.133333333647,29.169651471093
A. sieboldii,107.216666666981,22.836318137709
A. sieboldii,107.216666666981,31.919651471115
A. sieboldii,107.258333333648,31.919651471115
A. sieboldii,107.300000000315,34.086318137799
A. sieboldii,107.550000000317,33.211318137792
A. sieboldii,107.758333333652,29.336318137761
A. sieboldii,107.758333333652,32.96131814
A. sieboldii,107.758333333652,34.294651471134
A. sieboldii,107.883333333653,32.54465147
A. sieboldii,108.05000000032,32.086318137783
A. sieboldii,108.216666666989,33.961318137798
A. sieboldii,108.300000000323,33.336318137793
A. sieboldii,108.383333333657,31.252984804443
A. sieboldii,108.550000000325,34.002984804465
A. sieboldii,108.633333333659,31.836318137781
A. sieboldii,108.675000000326,31.919651471115
A. sieboldii,108.675000000326,31.961318137782
A. sieboldii,108.841666666994,27.669651471081
A. sieboldii,108.841666666994,28.919651471091
A. sieboldii,108.883333333661,32.336318137785
A. sieboldii,108.925000000328,34.169651471133
A. sieboldii,109.133333333663,22.336318137705
A. sieboldii,109.341666666998,31.502984804445
A. sieboldii,109.341666666998,32.377984804452
A. sieboldii,109.425000000331,34.086318137799
A. sieboldii,109.508333333666,31.877984804448
A. sieboldii,109.633333333667,31.377984804444
A. sieboldii,109.633333333667,31.419651471111
A. sieboldii,109.716666667001,32.336318137785
A. sieboldii,109.841666667002,35.586318137811
A. sieboldii,109.883333333669,31.086318137775
A. sieboldii,109.883333333669,33.544651471128
A. sieboldii,109.966666667003,31.086318137775
A. sieboldii,110.091666667003,34.544651471136
A. sieboldii,110.091666667003,34.586318137803
A. sieboldii,110.13333333367,34.086318137799
A. sieboldii,110.175000000337,29.377984804428
A. sieboldii,110.216666667005,32.211318137784
A. sieboldii,110.300000000339,26.377984804404
A. sieboldii,110.341666667006,31.044651471108
A. sieboldii,110.633333333675,26.044651471068
A. sieboldii,110.633333333675,26.71131814
A. sieboldii,110.675000000342,31.752984804447
A. sieboldii,110.716666667009,32.086318137783
A. sieboldii,110.758333333675,31.336318137777
A. sieboldii,110.800000000342,31.336318137777
A. sieboldii,111.050000000345,34.044651471132
A. sieboldii,111.133333333679,31.71131814
A. sieboldii,111.175000000346,30.46131814
A. sieboldii,111.25833333368,31.877984804448
A. sieboldii,111.466666667014,33.127984804458
A. sieboldii,111.466666667014,33.294651471126
A. sieboldii,111.841666667018,33.044651471124
A. sieboldii,112.050000000353,33.961318137798
A. sieboldii,112.09166666702,34.169651471133
A. sieboldii,112.216666667021,33.044651471124
A. sieboldii,113.383333333697,32.377984804452
A. sieboldii,114.091666667036,26.586318137739
A. sieboldii,114.258333333704,26.71131814
A. sieboldii,114.425000000372,29.002984804425
A. sieboldii,114.550000000373,29.044651471092
A. sieboldii,114.550000000373,32.211318137784
A. sieboldii,114.883333333708,31.627984804446
A. sieboldii,114.966666667043,29.336318137761
A. sieboldii,115.383333333713,30.794651471106
A. sieboldii,115.675000000382,30.752984804439
A. sieboldii,115.84166666705,27.419651471079
A. sieboldii,115.883333333717,31.669651471113
A. sieboldii,115.925000000384,31.71131814
A. sieboldii,115.966666667051,29.669651471097
A. sieboldii,116.008333333718,29.6279848
A. sieboldii,116.008333333718,29.669651471097
A. sieboldii,116.341666667054,30.836318137773
A. sieboldii,117.258333333728,28.294651471086
A. sieboldii,117.550000000396,28.961318137758
A. sieboldii,117.841666667066,30.669651471105
A. sieboldii,118.133333333735,30.252984804435
A. sieboldii,118.175000000402,29.794651471098
A. sieboldii,118.258333333735,28.669651471089
A. sieboldii,118.34166666707,29.836318137765
A. sieboldii,118.425000000404,29.877984804432
A. sieboldii,118.550000000405,27.919651471083
A. sieboldii,118.925000000407,30.211318137768
A. sieboldii,118.966666667074,30.04465147
A. sieboldii,119.133333333743,28.086318137751
A. sieboldii,119.341666667078,30.169651471101
A. sieboldii,119.550000000413,30.627984804438
A. sieboldii,119.633333333746,27.96131814
A. sieboldii,119.675000000414,30.627984804438
A. sieboldii,119.716666667081,30.211318137768
A. sieboldii,119.966666667083,30.544651471104
A. sieboldii,120.550000000421,27.669651471081
A. sieboldii,121.133333333759,28.836318137757
A. sieboldii,125.050000000456,41.752984804527
A. sieboldii,125.133333333791,41.71131814
A. sieboldii,125.758333333796,41.669651471193
A. sieboldii,125.966666667131,41.752984804527
A. sieboldii,126.67500000047,41.877984804528
A. sieboldii,130.300000000499,47.294651471238
A. sieboldii,108.79465147173,33.8833333330605
A. sieboldii,102.086318138343,34.0499999997285
A. sieboldii,107.711318138388,34.0916666663955
A. sieboldii,120.586318138491,36.2166666664125
A. sieboldii,102.419651471679,36.9249999997515
A. sieboldii,101.836318138341,37.1749999997535
